Provinsi	kode	WKT
DKI Jakarta	31	POLYGON ((106.9700470336437661 -6.0907732286015630, 106.8960946567430597 -6.3715975056203433, 106.7798632160146894 -6.3165209802589857, 106.7249853392020782 -6.0895640091716245, 106.9700470336437661 -6.0907732286015630))
Jawa Barat	32	POLYGON ((108.8308162846439018 -6.7849493228529241, 108.7648154731556360 -6.8944490592766101, 108.7667024171828416 -7.1134714171720930, 108.5622462768442347 -7.1713352005589854, 108.5832107094067851 -7.3464920482693401, 108.6762919719969887 -7.3575898118203327, 108.8010258578570983 -7.6728466190761537, 108.5166608510175479 -7.6986581042880289, 108.4327253482962305 -7.8208923434068538, 107.8469918320075180 -7.7370852755649935, 107.5983393802582668 -7.5699638343634206, 107.4425351884482325 -7.5069020082210614, 107.0860970982025719 -7.4531894594259711, 106.5243810248644536 -7.4080978387441974, 106.3728989145533319 -7.3080820639360695, 106.5436804588861150 -7.0560496712552663, 106.3971205548697867 -6.9784552064425611, 106.4667708673816833 -6.7510030947170208, 106.4036427072451829 -6.4537089790860591, 106.4267008181882943 -6.3478918072610213, 106.7693153564186446 -6.3615031228707721, 106.7798632160146894 -6.3165209802589857, 106.8960946567430597 -6.3715975056203433, 106.9700470336437661 -6.0907732286015630, 107.0329160730184412 -5.9565855596757729, 107.3455941003874727 -5.9717683452328743, 107.4732510059292281 -6.1485901941820771, 107.7303798143769882 -6.2360249868635833, 107.9015434042048014 -6.2422080606534109, 108.0975906945549809 -6.3285630940115425, 108.2526810647793809 -6.2479908219188474, 108.5352037807299439 -6.4806805879387639, 108.5661044169852971 -6.7015749566189129, 108.7492486483065477 -6.8151567796616064, 108.8308162846439018 -6.7849493228529241))
Jawa Tengah	33	POLYGON ((111.6913936551931101 -6.7541708936717555, 111.6147014334245000 -6.8325710566089128, 111.6120146746375781 -7.1384000010591535, 111.3719928888608024 -7.3405981802617362, 111.1503191434138103 -7.2602244658863242, 111.1195388481393707 -7.4096965545522835, 111.1823508372214064 -7.6909332165946012, 111.2745455571318303 -7.7374761901739930, 111.2660936062350174 -7.9346396749809855, 111.1543906926763725 -7.9220335100384318, 111.1115232941647832 -8.0630605851778228, 110.9514173500307379 -8.0708520101121053, 110.9000985806850395 -8.2112544674196783, 110.8349335469457060 -8.2030536962710130, 110.7556359217604154 -8.0243802421543933, 110.7263967748913274 -7.7952964265887772, 110.5309332335819477 -7.7949037951739797, 110.4549035009958402 -7.5736436065671455, 110.3041000307918580 -7.6549143569120019, 110.1304330746267510 -7.6550078971966400, 110.1302715500920044 -7.7479991691263308, 110.0034878646732750 -7.8882965820216100, 109.8632558729602238 -7.8403135501301904, 109.1071521352628793 -7.6826239458383725, 109.0002957338610940 -7.7436612208886118, 108.8010258578570983 -7.6728466190761537, 108.6762919719969887 -7.3575898118203327, 108.5832107094067851 -7.3464920482693401, 108.5622462768442347 -7.1713352005589854, 108.7667024171828416 -7.1134714171720930, 108.7648154731556360 -6.8944490592766101, 108.8308162846439018 -6.7849493228529241, 109.3037332164148552 -6.8724501941211429, 109.5065531158336967 -6.7905711315524400, 109.5658306586580579 -6.8316191026394222, 109.9740202432396927 -6.9237972984065550, 110.1785521253803495 -6.8477972677296748, 110.4556074920921560 -6.9540423288902957, 110.6472734068423165 -6.6457074046729190, 110.6767327383252564 -6.4963223802735683, 110.8365498507950520 -6.4076873946575006, 111.0459114817295472 -6.4265561919146990, 111.1267936494074320 -6.6377067299815735, 111.3819842263910118 -6.7016857261153291, 111.4926043840850980 -6.6206664127247450, 111.6913936551931101 -6.7541708936717555))
Daerah Istimewa Yogyakarta	34	POLYGON ((110.8349335469457060 -8.2030536962710130, 110.7188543677349344 -8.1993722243486218, 110.3755308345803883 -8.0714628773098980, 110.0034878646732750 -7.8882965820216100, 110.1302715500920044 -7.7479991691263308, 110.1304330746267510 -7.6550078971966400, 110.3041000307918580 -7.6549143569120019, 110.4549035009958402 -7.5736436065671455, 110.5309332335819477 -7.7949037951739797, 110.7263967748913274 -7.7952964265887772, 110.7556359217604154 -8.0243802421543933, 110.8349335469457060 -8.2030536962710130))
Jawa Timur	35	MULTIPOLYGON (((113.9094720986585116 -6.8637241415558492, 114.1032100001414165 -6.9376459999628537, 113.8159681610019334 -7.1331077021586680, 113.5888494864146878 -7.1389484508102896, 113.5491680999278969 -7.2326491313522752, 113.1006084019562650 -7.2289105821575959, 112.8650064548839964 -7.1621304325733490, 112.6913113850124546 -7.1538843400902010, 112.6742439747796425 -7.0740449462172705, 112.8579915243893765 -6.8935280482807570, 113.4841010410302715 -6.8965435398524164, 113.9094720986585116 -6.8637241415558492)), ((115.2667072371493759 -6.8273307259321996, 115.3935384211612245 -6.8346140860711557, 115.3814580646380819 -6.9950865534016771, 115.2026937709008507 -6.9369382380092475, 115.2667072371493759 -6.8273307259321996)), ((110.9000985806850395 -8.2112544674196783, 110.9514173500307379 -8.0708520101121053, 111.1115232941647832 -8.0630605851778228, 111.1543906926763725 -7.9220335100384318, 111.2660936062350174 -7.9346396749809855, 111.2745455571318303 -7.7374761901739930, 111.1823508372214064 -7.6909332165946012, 111.1195388481393707 -7.4096965545522835, 111.1503191434138103 -7.2602244658863242, 111.3719928888608024 -7.3405981802617362, 111.6120146746375781 -7.1384000010591535, 111.6147014334245000 -6.8325710566089128, 111.6913936551931101 -6.7541708936717555, 111.8293395801575798 -6.8000825179937578, 111.9609328722543182 -6.7605208636468888, 112.0450649020236824 -6.8801497101409836, 112.4229998306776679 -6.8639607540854968, 112.5803720929977771 -6.8873966729181006, 112.6503708649235023 -7.0201197032616278, 112.6250014720403669 -7.1289625559771252, 112.8462966856435514 -7.2856133623667461, 112.8415025823783253 -7.4774077713515226, 112.9034042471083694 -7.6259735232594608, 113.0500536921242656 -7.6574537231107911, 113.2770531381918317 -7.7821098769691730, 113.4856017622116724 -7.6989386343104798, 113.6677661758683371 -7.7365976640509189, 113.9305003021472658 -7.7008068733384789, 114.0297445539680439 -7.6095602232256851, 114.1328279135774437 -7.7133448256031443, 114.2385357647137880 -7.6977153827586449, 114.4530380265837266 -7.8036162589831406, 114.3418685953594149 -8.4384078594351308, 114.4229488486105311 -8.6046243596264276, 114.2207017822614716 -8.6448493107470199, 113.9094110247990557 -8.5790399190569815, 113.5221523640403802 -8.4280465857812601, 113.2377659362490476 -8.2852088606003917, 112.9841004080075209 -8.3208653321693191, 112.8715474336671605 -8.4081087509180747, 112.6717841563138336 -8.4448046058478212, 112.3229663482184151 -8.3321647659911378, 111.9055950830467054 -8.3030642478167351, 111.7950754102020596 -8.2553459673424641, 111.6832029537533799 -8.3746586068091915, 111.2704970323122780 -8.2485657284256035, 111.1456396947161807 -8.2788707077169192, 110.9000985806850395 -8.2112544674196783)))
Banten	36	POLYGON ((106.7249853392020782 -6.0895640091716245, 106.7798632160146894 -6.3165209802589857, 106.7693153564186446 -6.3615031228707721, 106.4267008181882943 -6.3478918072610213, 106.4036427072451829 -6.4537089790860591, 106.4667708673816833 -6.7510030947170208, 106.3971205548697867 -6.9784552064425611, 105.9822807535539937 -6.8129520089280504, 105.5384399440482639 -6.8741635977717692, 105.2594388976870619 -6.7624888806572585, 105.3753230301338135 -6.6545094175755253, 105.5067310627883899 -6.7303807022075830, 105.5973781411883010 -6.6482607580275044, 105.6498259661954648 -6.4913200147068437, 105.8256068903457958 -6.4241680062484647, 105.8251889708943736 -6.2396230538607824, 105.8811312304219996 -6.0767005284066045, 105.9959518605899689 -5.9747018887811123, 106.2246188637695923 -6.0125296610149803, 106.3504276553121031 -5.9641728762771891, 106.4859462381284629 -6.0478278498753184, 106.6486215957101535 -6.0052407439650892, 106.7249853392020782 -6.0895640091716245))
Bali	51	POLYGON ((115.1837583122963906 -8.0616834893015152, 115.4536462405816337 -8.1624808622019600, 115.7109140077752727 -8.3999800001768108, 115.5800359968637849 -8.5144370155557567, 115.3699239887012027 -8.5749060242935116, 115.1677569782020782 -8.7575680310397388, 115.1379340229368609 -8.6654960146292979, 114.9076050348445506 -8.4617520321305051, 114.7322430131046076 -8.3960909926051954, 114.5872719692260944 -8.4012370230701094, 114.4482415625981275 -8.2191400198959741, 114.4940434111745162 -8.0961624632270741, 114.8622536413924990 -8.1964889969696060, 114.9829010636332214 -8.1810154542997111, 115.1837583122963906 -8.0616834893015152))
Nusa Tenggara Barat	52	MULTIPOLYGON (((116.3712461879612192 -8.2104311623681951, 116.6506849964155208 -8.2883259737646426, 116.7181389792306163 -8.3483050381469184, 116.6236698531812408 -8.6042437971134973, 116.4926370239795688 -8.8475569729758945, 116.3239950324448273 -8.9082129813439792, 116.0042640296612717 -8.9029859768212987, 116.0673180083194893 -8.5311909913710906, 116.0327100050627678 -8.4459190052578492, 116.2696349807697516 -8.2448329555763848, 116.3712461879612192 -8.2104311623681951)), ((117.5599830276946705 -8.1441539946110879, 117.6651340330092808 -8.1509419955766020, 117.5282329628810203 -8.3894829693634847, 117.4822450103989695 -8.1861120382399122, 117.5599830276946705 -8.1441539946110879)), ((117.9365756579403524 -8.0833699911321446, 118.0807210135640162 -8.1002839707286398, 118.2799079747733231 -8.3646509582750355, 118.4615129777417906 -8.2488409767296389, 118.6457540321229089 -8.2895160376349963, 119.0041869976319049 -8.3140399697687712, 119.0496449634443934 -8.4650359668363535, 119.0357810156814367 -8.6417849608072288, 118.9374549986492866 -8.8317739825831723, 118.7497080128146081 -8.7955109560656979, 118.4776761700193219 -8.8835515851375249, 118.3537870200549378 -8.6845330246792969, 118.1853899867585369 -8.8536349879642557, 118.0702939670929936 -8.8411879643530256, 117.8958950347281416 -8.9224200411519519, 117.6764540001520345 -8.9246499596279136, 117.3904899933186243 -9.0524230090146034, 117.1764319758550528 -9.0239819574013609, 117.0087699656614859 -9.1062959662857565, 116.7391870181663762 -8.9968520247011270, 116.8125250097215257 -8.8194170080884078, 116.7704250153022940 -8.6288429854154174, 116.8428340089824360 -8.5385670338415025, 117.0183339894221035 -8.4802039639417330, 117.1550630291355901 -8.3642870251260888, 117.3931459728084974 -8.4722549957713795, 117.5670070161609146 -8.4092770269132302, 117.6292210298266809 -8.5520939579697597, 117.7562929758402106 -8.5913899813625108, 117.8038830246819089 -8.7267730426417529, 117.9744419724191857 -8.7395209821075923, 118.0379699711372723 -8.6724039698672755, 118.2740640173406064 -8.6526999857157421, 118.2734900232460404 -8.5872580057522896, 117.8302339727197250 -8.3726080194444990, 117.7117759733824869 -8.2428889621558596, 117.7399579959648008 -8.1557270183871537, 117.9365756579403524 -8.0833699911321446)))
Nusa Tenggara Timur	53	MULTIPOLYGON (((123.3786836824060629 -10.4310418008383863, 123.4254057325885015 -10.6566056141577405, 123.2525876051339537 -10.7344734216110851, 123.1891952277776454 -10.8368817348041944, 122.8247891495996100 -10.9230831001049182, 122.8100182787206904 -10.7819949529047108, 123.0422910515908370 -10.7295511451691823, 123.1780924469089769 -10.6368246462403704, 123.3786836824060629 -10.4310418008383863)), ((121.9528936119506852 -10.4338179117671643, 121.9969234579513113 -10.5231035775680084, 121.8748565367998253 -10.6183194134101768, 121.6853569287793562 -10.5750706420964207, 121.9528936119506852 -10.4338179117671643)), ((119.9389417279784311 -9.2787831423281091, 120.0779419551571436 -9.4641324033876799, 120.2103998860459342 -9.4905437031293332, 120.2452235188503664 -9.6337314102763116, 120.4780815821993656 -9.6260711838380075, 120.5965981139119094 -9.7309697746353550, 120.6792477120123976 -9.9002065813685931, 120.8459209122204356 -10.0288228503941923, 120.7425101760038615 -10.1864685470857239, 120.4541805447963725 -10.3126176268019663, 120.2122055106758580 -10.2530789739154784, 120.0354436716881992 -10.1205051617837398, 119.8491349976820857 -9.9205491057566064, 119.6710517047723670 -9.7809478049971403, 119.4820023468308818 -9.7445805497525271, 119.3845032798026295 -9.7958081332387223, 119.0260011762134127 -9.6746987418534331, 118.9272732458637165 -9.5502081333985984, 119.1536114905778732 -9.3838569912071534, 119.6314297796607207 -9.3456315342678522, 119.8063697711480700 -9.3942945408603009, 119.9389417279784311 -9.2787831423281091)), ((124.9466449751855635 -8.9574394635603767, 125.0001905081854829 -9.0644199947868742, 125.1809274810184434 -9.0213426639327281, 125.1748622822685775 -9.1735293939663052, 125.0138968083911095 -9.1694578500996613, 124.9850238699557394 -9.2513067709906522, 125.0793247022731975 -9.3901564597527454, 124.9475055760216264 -9.6812138732216226, 124.7507499940170419 -9.8816400057816054, 124.5324231340205188 -10.0303610526204352, 124.3956900563510999 -10.1697153033185259, 124.1707259622334050 -10.1555221155531399, 124.0165922584260443 -10.2739729589848139, 123.7038980873269338 -10.3662788809655240, 123.5353999927154973 -10.3288200061383009, 123.5351158699015741 -10.1738312781909030, 123.7413737066312933 -10.0985668551761592, 123.5785008992971825 -9.9433023654117960, 123.6702393058992584 -9.8278142557232968, 123.6741352121703130 -9.6284702243213474, 123.9326541179932519 -9.4227626458793452, 124.3787468227077397 -9.3611352177160825, 124.5852000029777855 -9.2554600002787311, 124.6158800076563011 -9.1534199954363658, 124.8163799961399718 -9.0023600008133258, 124.9466449751855635 -8.9574394635603767)), ((123.2113538197230582 -8.2254370233998770, 123.3338266795576601 -8.2643273662149568, 123.2753293049036074 -8.3953741483981617, 123.0281150228900060 -8.3998560538137781, 123.0287566639889292 -8.3117234906465569, 123.2113538197230582 -8.2254370233998770)), ((124.2916426963533922 -8.1773923978408334, 124.3234209000545434 -8.2334305538769286, 124.2117104160029157 -8.4610009597264479, 124.0642472266282539 -8.5043864765546004, 123.9636676020782033 -8.3497941023159115, 124.1325820396294830 -8.3446033665520645, 124.2916426963533922 -8.1773923978408334)), ((123.7826584782062582 -8.1708665537483967, 123.7560111648833754 -8.2966906940202421, 123.3865799916733295 -8.5839100078405295, 123.3322853359994724 -8.4035598046412474, 123.7826584782062582 -8.1708665537483967)), ((124.5296866661068407 -8.1227233822781955, 124.8136671039537759 -8.1643395693156435, 125.0979756657444568 -8.1503030704303114, 125.1234984631836369 -8.3381769595989681, 124.6567148223311960 -8.3908503201860754, 124.3711744312550991 -8.4429468052508128, 124.4023113059221259 -8.2153327741881412, 124.5296866661068407 -8.1227233822781955)), ((122.8665904333018943 -8.0633576042699815, 122.9729613635761325 -8.1354937634263820, 123.0205545960178597 -8.3153631377984993, 122.9143695457180456 -8.3281157879132479, 122.8194094150125011 -8.5965275447103977, 122.5557880778575282 -8.6675760772740773, 122.4519393079527845 -8.7367088452369899, 122.0785769678528823 -8.7465946194460571, 121.7741919865709406 -8.8826689347235401, 121.5918402387360402 -8.8047668469124005, 121.3886240989230600 -8.7886261179009466, 121.3424541047731964 -8.9049827802310801, 121.1697684717375978 -8.8878726360132987, 121.0301886701710146 -8.9564222781655758, 120.8375252013270256 -8.8291845223477594, 120.7542905555646939 -8.8927326254103036, 120.5986098739465433 -8.8160077528554552, 120.1711598661349854 -8.7916909022133041, 119.9449714017089264 -8.8205481978409921, 119.8012971649322935 -8.7633832398445861, 119.8040560412533750 -8.5733938052798635, 119.8807769064291051 -8.4796317208272285, 120.1133320511332840 -8.4383787510784600, 120.2011581712126826 -8.3053779489331419, 120.6319186329386639 -8.2711352071240754, 120.7359553980232931 -8.3495204880800316, 121.3075752598904273 -8.4798810173949732, 121.5165970613054469 -8.6157539007218702, 121.6052379536687340 -8.4938741293875069, 121.9133858350883202 -8.4956158374009192, 122.1588238877122876 -8.5544543770678274, 122.2209892363641757 -8.6200207098877968, 122.4757097233251670 -8.6076483048253749, 122.6030722438889597 -8.3923517077650445, 122.8720873639407500 -8.2937384211911649, 122.8665904333018943 -8.0633576042699815)))
Kalimantan Barat	61	MULTIPOLYGON (((109.4980918461618558 -0.9790335742400202, 109.7558573557324166 -1.0150607247725816, 109.7799997729712231 -1.1447058568897432, 109.5035863935972316 -1.3076657473762907, 109.4053139320923265 -1.2798595119069205, 109.4980918461618558 -0.9790335742400202)), ((109.2522583409497088 -0.6617833989846531, 109.7124755683928470 -0.8339453900676403, 109.7214727440719457 -0.9735657366693431, 109.4395693282619391 -0.8581599886924778, 109.3256641557762237 -0.9172558019136545, 109.2368649431626295 -0.7952608993709873, 109.2522583409497088 -0.6617833989846531)), ((114.2054243709379762 1.4104057433304433, 114.2204655402525759 1.1604526236897073, 113.9887679755617000 1.1265689505966634, 113.8796386716874167 0.8892481931496263, 113.8460887172205958 0.6604786105994549, 113.8217972220642196 0.5743670003368493, 113.6688068560516740 0.4983722118082028, 113.5831538559657474 0.3582045917685264, 113.4487358203019767 0.2628141840274338, 113.4134845733544807 0.1304531092236516, 113.4098834990243176 -0.1608467102074655, 113.2204952702405762 -0.3335414713617411, 113.2659582227937562 -0.4362570739048124, 112.8323632355749169 -0.5775973928053872, 112.7434556096886809 -0.5728924060596228, 112.6087645038787741 -0.6839961049362273, 112.1751421403974973 -0.7257830984112275, 111.8253089437528160 -0.9114859063494691, 111.6269481357479094 -0.9884694230253785, 111.5503335956190085 -1.2086413968829106, 111.4000979807372573 -1.2629043766356176, 111.2601400232435367 -1.4298672008106337, 111.0063065142343248 -1.5036257908975017, 111.0140715917306125 -1.7818171452449860, 110.9486145697067059 -1.8685030436804482, 111.0871816950792095 -2.0460569722514492, 111.0251098201621289 -2.2260438862163028, 111.1155826809959990 -2.3274796824413215, 111.0993560829169269 -2.4667155445866911, 111.1738668785536674 -2.6877369595929395, 110.9614573516755058 -2.8596412733260763, 110.7344788220400460 -2.9882708361301411, 110.5635708977787885 -2.8388852856273843, 110.3034491266759005 -2.9944567113081462, 110.1444740997999361 -2.3233372333265834, 110.0863559089980868 -2.2418545937144927, 110.1196273371319876 -2.0905784488363111, 110.0750706700754336 -1.9394013274092572, 109.9236476533166069 -1.8571067771559910, 110.0331153981571788 -1.6636400851217559, 110.0716846623173524 -1.3775668933973861, 109.9171408181942411 -1.2207840539408608, 109.9396978179000257 -1.1236674631828123, 109.7322238972151354 -0.9876025889882385, 109.7578420012074503 -0.9042081696712216, 109.6354343647042242 -0.7955836948315778, 109.6968000002199233 -0.7160939996383036, 109.3741539997074028 -0.5846169997746529, 109.2590579998268936 -0.5992730002487292, 109.1143398543009084 -0.5042460831901394, 109.0897114281399354 -0.2735412666161210, 109.1813845466595581 -0.1943727103322885, 109.1752701729801629 0.0749688474344339, 109.1158635522612030 0.2157070027760142, 108.9222823198732044 0.3245586229821242, 108.9285965750719356 0.6238890843138165, 108.8406338182961122 0.8146871559874853, 108.9785152142058564 0.9809411830891577, 108.9030358127525915 1.1627692314149272, 109.0357095584494118 1.3298283253170098, 109.0414888006676506 1.4850006282763957, 109.2516061373134448 1.6596945283798163, 109.3375707569849169 1.9433045687508752, 109.5400816727310485 1.9264616769648910, 109.5863284231182888 1.7918995528221444, 109.6854850593880428 1.7821385028896657, 109.6619946650218367 1.6174194836223137, 109.9796921549690296 1.2991818932298429, 110.1651319282959207 1.1960739713367730, 110.2983961337745882 0.9955984462113747, 110.3964454635873267 0.9976922738794087, 110.4904823907497757 0.8766942752207001, 110.6976366636012017 0.8841679112201746, 110.9068939470980126 1.0292246146242974, 111.2315436218407285 1.0861536894412893, 111.5509545855857141 0.9564692623466158, 111.6675769436210999 1.0431767553030795, 111.8594289370958563 1.0039169314213154, 111.9353381452392568 1.1221497333235675, 112.1429366562017549 1.1350264476125176, 112.2122159264239372 1.4495061902585462, 112.4859711526465844 1.5796497779149945, 112.8120238453242337 1.5404879351701197, 112.8946131258951482 1.5883951856893077, 113.0638756694266931 1.5525888501953204, 113.1830725481596573 1.3770358223453627, 113.5376470039061587 1.3226385702138828, 113.6645859222026047 1.2243402253212139, 113.8146821115902867 1.3662670415907314, 113.9746800255627477 1.4497532664001938, 114.2054243709379762 1.4104057433304433)))
Kalimantan Tengah	62	POLYGON ((115.7587587347278486 -1.3125795360166990, 115.4675453311522233 -1.4340610290931863, 115.3580835398236104 -1.5923904110885587, 115.3209670485904326 -1.8922915642042994, 115.4410287010138063 -1.9423149662626429, 115.3994864733220993 -2.0508470312654481, 115.2477120320846780 -2.2121990958115703, 114.9145791136352273 -2.4593413861959448, 114.7945670687153097 -2.5979445060340822, 114.7617658034491797 -2.7199231083646964, 114.5969876807369019 -2.8161503928263301, 114.4235745878969510 -3.1799413329261483, 114.3477104097077017 -3.4613078309915863, 114.0801951330989823 -3.3496457619423268, 113.7973700839622779 -3.4576842529259011, 113.5819587253149621 -3.4445036945897982, 113.6333146789293096 -3.2975512922582766, 113.5955714231827187 -3.1669187288162561, 113.4504143572368093 -3.1904394636102893, 113.3366435092906386 -3.2747581449723384, 113.1679188430802014 -3.0692609080643933, 113.0112975992049087 -3.0333713645967464, 112.9385475592225703 -3.2261447548764863, 112.5632315768758644 -3.4468162913387346, 112.3359072372293213 -3.3151956958246274, 112.1790597859803711 -3.3440406410626906, 111.8901951687720953 -3.5435840512628829, 111.8062390068247396 -3.5307573096021088, 111.8140294020353167 -3.0011869731002889, 111.6904470926592694 -2.9418099391772898, 111.5547188077268288 -3.0109666425964292, 111.3538202711886242 -2.9066771329432868, 111.0368003286723138 -3.0545821070785451, 110.7344788220400460 -2.9882708361301411, 110.9614573516755058 -2.8596412733260763, 111.1738668785536674 -2.6877369595929395, 111.0993560829169269 -2.4667155445866911, 111.1155826809959990 -2.3274796824413215, 111.0251098201621289 -2.2260438862163028, 111.0871816950792095 -2.0460569722514492, 110.9486145697067059 -1.8685030436804482, 111.0140715917306125 -1.7818171452449860, 111.0063065142343248 -1.5036257908975017, 111.2601400232435367 -1.4298672008106337, 111.4000979807372573 -1.2629043766356176, 111.5503335956190085 -1.2086413968829106, 111.6269481357479094 -0.9884694230253785, 111.8253089437528160 -0.9114859063494691, 112.1751421403974973 -0.7257830984112275, 112.6087645038787741 -0.6839961049362273, 112.7434556096886809 -0.5728924060596228, 112.8323632355749169 -0.5775973928053872, 113.2659582227937562 -0.4362570739048124, 113.2204952702405762 -0.3335414713617411, 113.4098834990243176 -0.1608467102074655, 113.4134845733544807 0.1304531092236516, 113.4487358203019767 0.2628141840274338, 113.5831538559657474 0.3582045917685264, 113.6688068560516740 0.4983722118082028, 113.8217972220642196 0.5743670003368493, 113.8460887172205958 0.6604786105994549, 114.1580006337222812 0.6777433806525437, 114.2030802781323473 0.5400714728202729, 114.3641036260814872 0.5302360192769129, 114.5978788702137763 0.6317813673163073, 114.6584374370381738 0.6985421302151735, 114.9433042547875630 0.7728910370917106, 115.1244821724143321 0.3699882367677674, 114.9025939449546740 0.3177213517590189, 114.7089189330623640 0.0739809871328703, 114.9210271789612534 -0.1003341715846773, 114.9204130742040206 -0.2333771816116155, 115.2808057281018819 -0.0456172752170119, 115.2336409335822509 -0.3633375683740496, 115.3809333470964020 -0.5722437853223710, 115.2881514499295008 -0.7950706612819545, 115.3764446787789666 -0.8754856068752019, 115.5544524556163424 -0.8598388700677333, 115.7664382066579947 -1.1376964797087226, 115.7587587347278486 -1.3125795360166990))
Kalimantan Selatan	63	MULTIPOLYGON (((116.2597548668936724 -3.2120414300678704, 116.2531150454231010 -3.3886253237996016, 116.3099068279377661 -3.4556162546863334, 116.3044813556301733 -3.8850487217210912, 116.1490573791948009 -4.0303402318161829, 116.0389306102595128 -4.0223752269351394, 116.0816578242493051 -3.8333983453572955, 116.0023819896372288 -3.6379101482347096, 116.1139383829500957 -3.3081104896073725, 116.2597548668936724 -3.2120414300678704)), ((116.5557230418849031 -2.4093258514068907, 116.3692116768773985 -2.6588681085763142, 116.3593576910046750 -2.8644965907450342, 116.2639363501824619 -3.0048824537622068, 116.1768784669677643 -3.2505816128510787, 116.0313359740760006 -3.3643423299345159, 115.9697719112447203 -3.6074743706456616, 115.8557052430026033 -3.6238312867844229, 115.6561806430223669 -3.7430773710237872, 115.0070688948137558 -4.0130195697972795, 114.7030143847061936 -4.1719191300637704, 114.6359443521502044 -4.1729405998287916, 114.6030136942266608 -3.8059525212917720, 114.6155274205540309 -3.6494697352400181, 114.4851550201881309 -3.4994056588440117, 114.3477104097077017 -3.4613078309915863, 114.4235745878969510 -3.1799413329261483, 114.5969876807369019 -2.8161503928263301, 114.7617658034491797 -2.7199231083646964, 114.7945670687153097 -2.5979445060340822, 114.9145791136352273 -2.4593413861959448, 115.2477120320846780 -2.2121990958115703, 115.3994864733220993 -2.0508470312654481, 115.4410287010138063 -1.9423149662626429, 115.3209670485904326 -1.8922915642042994, 115.3580835398236104 -1.5923904110885587, 115.4675453311522233 -1.4340610290931863, 115.7587587347278486 -1.3125795360166990, 115.6188967223059763 -1.4878552111490535, 115.6652365066595394 -1.7066664936637039, 115.7280071970745894 -1.7969627690165453, 115.7210198955517626 -2.0624244617195018, 115.8942560000144795 -2.3344159995986615, 116.1611390001647806 -2.3065289996135903, 116.5557230418849031 -2.4093258514068907)))
